Counts,Dilution
35,2000
150,200
37,2000
49,2000
160,200
29,200
132,200
137,200
168,200
149,200
127,200
155,200
53,2000
165,200
40,2000
174,200
50,2000
36,200
136,200
42,2000
247,20
171,200
297,20
135,200
158,200
39,2000
178,200
30,200
131,200
40,2000
46,2000
57,2000
30,2000
141,200
63,2000
198,200
31,200
155,200
153,200
169,200
40,200
41,2000
46,2000
37,2000
239,20
55,2000
154,200
158,200
279,20
28,200
158,200
48,2000
27,2000
40,2000
44,2000
43,2000
195,200
53,2000
34,2000
34,2000
297,20
44,2000
122,200
48,2000
42,200
150,200
29,200
136,200
35,2000
253,20
174,200
43,2000
30,200
163,200
55,2000
132,200
42,2000
114,200
174,200
44,200
180,200
55,2000
290,20
42,2000
298,20
41,2000
168,200
279,20
122,200
36,2000
161,200
258,20
50,2000
51,2000
37,200
57,2000
36,2000
300,20
146,200
145,200
144,200
292,20
264,20
136,200
32,200
188,200
148,200
158,200
30,200
51,2000
201,200
128,200
42,2000
160,200
106,200
58,2000
158,200
286,20
156,200
41,2000
30,200
255,20
145,200
122,200
167,200
38,200
29,2000
163,200
163,200
149,200
154,200
42,2000
42,2000
164,200
32,200
63,2000
157,200
174,200
157,200
152,200
170,200
42,2000
58,2000
44,2000
58,2000
159,200
135,200
34,200
33,2000
43,2000
37,2000
126,200
167,200
215,20
137,200
150,200
137,200
44,2000
153,200
31,200
39,2000
24,200
46,2000
150,200
271,20
51,2000
157,200
47,2000
262,20
148,200
40,200
158,200
163,200
161,200
48,2000
39,2000
152,200
41,2000
124,200
47,2000
130,200
120,200
128,200
168,200
153,200
59,2000
249,20
33,200
53,2000
154,200
154,200
37,2000
35,200
164,200
48,2000
191,200
300,20
42,2000
151,200
40,2000
48,2000
62,2000
146,200
47,2000
33,200
145,200
159,200
37,200
28,200
28,200
123,200
26,200
117,200
281,20
147,200
155,200
174,200
41,200
26,200
49,2000
160,200
297,20
52,2000
46,2000
162,200
145,200
48,2000
141,200
42,2000
40,2000
164,200
45,2000
140,200
44,2000
44,2000
176,200
152,200
296,20
145,200
58,2000
300,20
156,200
135,200
51,2000
143,200
56,2000
151,200
31,2000
50,2000
55,2000
254,20
51,2000
142,200
112,200
236,20
43,2000
32,2000
267,20
38,2000
46,2000
113,200
256,20
257,20
39,2000
41,2000
39,2000
146,200
156,200
165,200
45,2000
22,200
35,200
184,200
295,20
45,2000
228,20
123,200
138,200
31,200
40,2000
167,200
113,200
123,200
31,2000
110,200
150,200
39,2000
52,2000
169,200
158,200
134,200
54,2000
156,200
162,200
178,200
227,20
46,2000
44,2000
142,200
29,200
172,200
34,200
155,200
166,200
53,2000
184,200
60,2000
138,200
156,200
153,200
268,20
155,200
123,200
148,200
39,2000
38,2000
161,200
184,200
261,20
32,2000
38,2000
159,200
149,200
137,200
123,200
144,200
227,20
145,200
48,2000
40,2000
167,200
45,2000
179,200
53,2000
122,200
42,2000
46,2000
131,200
45,2000
179,200
174,200
120,200
268,20
45,2000
45,2000
235,20
187,200
39,200
108,200
165,200
27,200
258,20
34,200
32,200
170,200
174,200
288,20
171,200
148,200
172,200
156,200
149,200
50,2000
152,200
140,200
38,2000
134,200
123,200
39,2000
150,200
161,200
165,200
141,200
39,200
185,200
168,200
35,200
152,200
134,200
148,200
44,2000
166,200
39,2000
58,2000
117,200
129,200
40,200
297,20
31,2000
132,200
40,2000
34,200
46,2000
296,20
46,2000
125,200
277,20
41,2000
164,200
43,2000
161,200
140,200
156,200
141,200
186,200
54,2000
46,2000
50,2000
145,200
160,200
168,200
53,2000
138,200
40,2000
147,200
50,2000
50,2000
40,2000
171,200
27,200
198,200
167,200
43,2000
148,200
125,200
40,2000
50,2000
130,200
41,2000
45,2000
142,200
136,200
40,200
133,200
50,2000
34,2000
148,200
28,200
181,200
125,200
39,2000
41,2000
61,2000
44,2000
41,2000
196,200
53,2000
108,200
53,2000
145,200
134,200
146,200
51,2000
140,200
40,200
159,200
43,2000
43,2000
135,200
49,2000
145,200
168,200
116,200
45,2000
295,20
194,200
163,200
30,200
49,2000
33,200
145,200
45,2000
137,200
246,20
41,2000
180,200
126,200
34,2000
140,200
148,200
49,2000
152,200
47,2000
163,200
300,20
143,200
145,200
36,2000
30,2000
170,200
128,200
177,200
135,200
159,200
165,200
284,20
150,200
132,200
43,2000
163,200
50,2000
141,200
268,20
165,200
152,200
44,2000
292,20
148,200
22,200
44,2000
152,200
38,2000
138,200
143,200
42,200
139,200
63,2000
165,200
167,200
40,2000
161,200
38,200
132,200
141,200
162,200
123,200
149,200
37,200
51,2000
180,200
143,200
46,2000
140,200
55,2000
46,2000
144,200
143,200
35,2000
147,200
36,2000
37,2000
56,2000
51,2000
39,200
62,2000
261,20
149,200
37,2000
152,200
39,2000
278,20
170,200
131,200
144,200
159,200
49,2000
50,2000
245,20
156,200
123,200
43,2000
147,200
148,200
52,2000
150,200
145,200
154,200
44,2000
44,2000
131,200
155,200
147,200
264,20
268,20
53,2000
164,200
152,200
45,2000
173,200
122,200
56,2000
41,2000
151,200
285,20
60,2000
129,200
24,2000
298,20
157,200
140,200
25,200
168,200
43,2000
30,2000
140,200
273,20
154,200
45,2000
140,200
122,200
44,2000
31,2000
128,200
54,2000
51,2000
34,200
54,2000
160,200
22,200
152,200
29,200
59,2000
143,200
120,200
33,2000
36,2000
152,200
43,2000
46,2000
282,20
41,2000
35,2000
141,200
171,200
143,200
127,200
46,2000
45,2000
56,2000
51,2000
132,200
45,2000
260,20
141,200
139,200
154,200
159,200
53,2000
185,200
61,2000
171,200
33,200
158,200
40,2000
158,200
161,200
143,200
159,200
31,200
46,2000
277,20
46,2000
44,200
57,2000
162,200
150,200
251,20
172,200
158,200
41,2000
166,200
115,200
153,200
146,200
123,200
53,2000
165,200
153,200
52,2000
174,200
49,2000
153,200
147,200
163,200
47,2000
51,2000
31,2000
45,2000
150,200
130,200
63,2000
58,2000
44,2000
146,200
48,2000
138,200
158,200
50,2000
126,200
130,200
135,200
34,2000
38,2000
147,200
152,200
39,2000
34,2000
45,200
223,20
143,200
56,2000
137,200
160,200
133,200
131,200
41,2000
45,2000
30,2000
28,200
166,200
68,2000
41,2000
32,200
146,200
156,200
45,2000
29,200
31,200
139,200
151,200
144,200
47,2000
294,20
62,2000
160,200
137,200
158,200
130,200
160,200
168,200
299,20
37,2000
37,2000
36,2000
48,2000
181,200
47,2000
49,200
248,20
165,200
36,2000
39,2000
172,200
29,200
292,20
105,200
148,200
137,200
175,200
33,2000
42,2000
139,200
261,20
148,200
72,2000
127,200
32,2000
178,200
147,200
53,2000
41,2000
161,200
145,200
137,200
151,200
27,2000
145,200
182,200
136,200
153,200
138,200
155,200
162,200
171,200
162,200
140,200
41,2000
32,200
160,200
166,200
56,2000
121,200
34,2000
205,20
33,200
147,200
46,2000
49,2000
48,2000
180,200
262,20
34,2000
38,2000
36,200
52,2000
44,2000
252,20
132,200
137,200
159,200
56,2000
129,200
47,2000
37,200
41,2000
32,200
165,200
167,200
39,2000
129,200
246,20
223,20
169,200
28,200
43,2000
159,200
137,200
193,200
177,200
171,200
41,2000
41,200
165,200
141,200
160,200
134,200
30,200
39,2000
28,2000
135,200
24,200
38,2000
157,200
38,2000
129,200
129,200
132,200
152,200
42,2000
41,2000
165,200
153,200
48,2000
143,200
156,200
139,200
35,200
143,200
167,200
44,2000
146,200
157,200
152,200
281,20
71,2000
41,2000
185,200
141,200
152,200
